nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,avgwr,Combined1
USA,Ground_vehicles,2025-02-05,2.3 ~ 3.3,2.3,2446.0,233.57288868122885,0.6664233033524121,0.0908708094848732,0.1236385936222403,0.2176730107327399,0.6663024775241587,0.6455558793963545,0.5332722535159617
Italy,Ground_vehicles,2025-03-25,2.0 ~ 3.0,2.0,146.0,8.129680365296803,0.4843417808219177,0.0,0.2602739726027397,0.0686934067381965,0.1788593990543062,0.4716663958713118,0.0896517695946405
Germany,Ground_vehicles,2025-02-20,7.0 ~ 8.0,7.0,14887.0,959.5459371711336,0.3748810908846644,0.0430375495398669,0.0302109222811849,0.1025586316902401,0.2614199830336467,0.3758967923819987,0.0302379939405686
Germany,Ground_vehicles,2025-03-19,3.7 ~ 4.7,3.7,6691.0,321.6466036466896,0.4887311612613959,0.1394769092811238,0.1568315647885219,0.1946499865561511,0.5420946227701301,0.479292624993208,0.2988855616902459
Britain,Ground_vehicles,2025-03-28,1.3 ~ 2.3,1.3,103.0,9.964077669902911,0.145631067961165,0.0,0.0,0.05872775884517,0.1155951271852786,0.2512145237610651,-0.276763067295254
Japan,Ground_vehicles,2025-01-03,1.3 ~ 2.3,1.3,320.0,34.20520833333333,0.746875,0.01875,0.0061875,0.3079251139473007,0.9147115900420408,0.57390203110225,0.7565520853729019
Sweden,Ground_vehicles,2025-01-03,7.7 ~ 8.7,7.7,12075.0,801.872942916297,0.4434972505175985,0.0715072463768116,0.0684819875776397,0.1010859243730205,0.2910593719309156,0.470649993573706,0.107743247003025
Israel,Ground_vehicles,2025-01-18,7.7 ~ 8.7,7.7,2765.0,172.99683544303798,0.4754083905967449,0.0093996383363471,0.0151211573236889,0.1103873898231617,0.300455340600293,0.5168953471727927,0.1489780206388681
USA,Ground_vehicles,2025-01-21,5.0 ~ 6.0,5.0,16494.0,1568.5214098055858,0.5791311325330423,0.0397744634412513,0.0594034194252455,0.1318047512117582,0.3357151229877226,0.5885093427721979,0.2787062327949848
Sweden,Ground_vehicles,2025-01-21,4.7 ~ 5.7,4.7,2446.0,344.4126464976833,0.5329011447260834,0.0679967293540474,0.0633605887162714,0.1259743775844802,0.3199362521525949,0.5029033839371853,0.2233388521641613
Sweden,Ground_vehicles,2025-03-25,1.7 ~ 2.7,1.7,576.0,53.50549768518518,0.3721697916666666,0.0,0.0,0.1405341431800695,0.4207160092924601,0.3813826696968102,0.105863962118982
Britain,Ground_vehicles,2025-01-27,4.0 ~ 5.0,4.0,2192.0,207.4848540145985,0.610605200729927,0.2097125912408758,0.1508941605839416,0.1370218875865898,0.283924695392544,0.5127683941762274,0.2964087014283129
